Cluster-1	total=31	enrichmentScore=7.888470376061848	phaseStdDev=4.846752261410203	"rhabdomere,Vision,visual perception,Phototransduction - fly,phototransduction,deactivation of rhodopsin mediated signaling,inaD signaling complex,Sensory transductionAnnotation Cluster 1"	Enrichment Score: 7.888470376061848								
													
Cluster-41	total=7	enrichmentScore=0.5282696261361414	phaseStdDev=4.162226713849652	"LRR_TYP,Leucine-rich repeat, typical subtype,LRRCT,Cysteine-rich flanking region, C-terminal,Leucine-rich repeat,Leucine-rich repeatAnnotation Cluster 41"	Enrichment Score: 0.5282696261361414								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00369:LRR_TYP	7	1.192504259	0.158479401	-0.872146571	4.162226714	"FBtr0080485, FBtr0342673, FBtr0073375, FBtr0073362, FBtr0305559, FBtr0076304, FBtr0080489"	246	78	5218	1.903585574	1	1
INTERPRO	"IPR003591:Leucine-rich repeat, typical subtype"	7	1.192504259	0.177037633	-0.872146571	4.162226714	"FBtr0080485, FBtr0342673, FBtr0073375, FBtr0073362, FBtr0305559, FBtr0076304, FBtr0080489"	534	78	10984	1.845961779	1	1
SMART	SM00082:LRRCT	3	0.511073254	0.258850693	-2.455378	3.687137962	"FBtr0080485, FBtr0073375, FBtr0073362"	246	21	5218	3.030197445	1	1
INTERPRO	"IPR000483:Cysteine-rich flanking region, C-terminal"	3	0.511073254	0.271331694	-2.455378	3.687137962	"FBtr0080485, FBtr0073375, FBtr0073362"	534	21	10984	2.93846977	1	1
INTERPRO	IPR001611:Leucine-rich repeat	7	1.192504259	0.47923156	-0.872146571	4.162226714	"FBtr0080485, FBtr0342673, FBtr0073375, FBtr0073362, FBtr0305559, FBtr0076304, FBtr0080489"	534	114	10984	1.26302648	1	1
UP_KEYWORDS	Leucine-rich repeat	3	0.511073254	0.716553399	-2.455378	3.687137962	"FBtr0080485, FBtr0073375, FBtr0073362"	587	59	13921	1.205873011	1	0.921658986
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0080485	kek4-RA	2.102918	0.02037	20.5	FlyBase kek4-RA	Figure for kek4-RA							
FBtr0073375	Con-RA	1.408152	0.019558	2.5	FlyBase Con-RA	Figure for Con-RA							
FBtr0080489	CG16974-RA	3.069238	0	22.8	FlyBase CG16974-RA	Figure for CG16974-RA							
FBtr0342673	CG11099-RB	2.166575	0.014377	22.5	FlyBase CG11099-RB	Figure for CG11099-RB							
FBtr0073362	CG7509-RA	1.058486	0.038189	17.6	FlyBase CG7509-RA	Figure for CG7509-RA							
FBtr0305559	CG4168-RB	2.707314	0.005379	20.7	FlyBase CG4168-RB	Figure for CG4168-RB							
FBtr0076304	CG32055-RA	1.385822	0.02813	7.3	FlyBase CG32055-RA	Figure for CG32055-RA							
													
Cluster-42	total=7	enrichmentScore=0.5183291682969489	phaseStdDev=2.66995219590843	"peroxisome organization,peroxisome,PeroxisomeAnnotation Cluster 42"	Enrichment Score: 0.5183291682969489								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0007031~peroxisome organization	3	0.511073254	0.158443346	-1.045752333	1.930940951	"FBtr0273328, FBtr0080326, FBtr0070368"	463	17	10996	4.191081184	1	0.985803017
GOTERM_CC_DIRECT	GO:0005777~peroxisome	7	1.192504259	0.2225775	1.174970571	2.669952196	"FBtr0085345, FBtr0073819, FBtr0113215, FBtr0300956, FBtr0273328, FBtr0080326, FBtr0070368"	455	90	10026	1.713846154	1	0.981412639
KEGG_PATHWAY	dme04146:Peroxisome	4	0.681431005	0.790054827	-0.416658	1.995915519	"FBtr0085345, FBtr0273328, FBtr0080326, FBtr0070368"	164	69	2737	0.967479675	1	0.964285714
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0300956	CG30427-RE	1.475802	0.028494	5.8	FlyBase CG30427-RE	Figure for CG30427-RE							
FBtr0273328	Pex7-RB	2.003	0.022309	1.7	FlyBase Pex7-RB	Figure for Pex7-RB							
FBtr0080326	Pex19-RA	1.317186	0.025327	21.5	FlyBase Pex19-RA	Figure for Pex19-RA							
FBtr0085345	wat-RA	1.233527	0.026614	1.5	FlyBase wat-RA	Figure for wat-RA							
FBtr0113215	CG14688-RB	1.383953	0.02585	2.8	FlyBase CG14688-RB	Figure for CG14688-RB							
FBtr0073819	CG11151-RA	1.801324	0.009609	1.3	FlyBase CG11151-RA	Figure for CG11151-RA							
FBtr0070368	Pex5-RB	1.699035	0.009609	21.7	FlyBase Pex5-RB	Figure for Pex5-RB							
													
Cluster-43	total=9	enrichmentScore=0.4750065429687555	phaseStdDev=3.437416099929584	"Microtubule,microtubule-based process,microtubule bindingAnnotation Cluster 43"	Enrichment Score: 0.4750065429687555								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Microtubule	5	0.851788756	0.311563013	1.667117667	2.933819881	"FBtr0344750, FBtr0344752, FBtr0339991, FBtr0299509, FBtr0332455, FBtr0083126"	587	67	13921	1.769813624	1	0.819902667
GOTERM_BP_DIRECT	GO:0007017~microtubule-based process	4	0.681431005	0.339534854	0.1108578	2.885744421	"FBtr0344750, FBtr0344752, FBtr0111274, FBtr0332455, FBtr0083126"	463	49	10996	1.938731432	1	0.985803017
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	7	1.192504259	0.35526311	0.0331365	3.633816695	"FBtr0344750, FBtr0303857, FBtr0344752, FBtr0299509, FBtr0111274, FBtr0073527, FBtr0332455, FBtr0083126"	425	106	9284	1.442574917	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0083126	Cp190-RA	1.817785	0.009609	22.3	FlyBase Cp190-RA	Figure for Cp190-RA							
FBtr0339991	Shroom-RH	2.183708	0.011589	23.1	FlyBase Shroom-RH	Figure for Shroom-RH							
FBtr0303857	kst-RF	1.985823	0.008018	21.1	FlyBase kst-RF	Figure for kst-RF							
FBtr0332455	CLIP-190-RT	1.030277	0.047189	4.4	FlyBase CLIP-190-RT	Figure for CLIP-190-RT							
FBtr0344750	tau-RK	1.890372	0.017597	2	FlyBase tau-RK	Figure for tau-RK							
FBtr0299509	DCX-EMAP-RC	2.787041	0	6.4	FlyBase DCX-EMAP-RC	Figure for DCX-EMAP-RC							
FBtr0344752	tau-RM	1.93034	0.023178	23.7	FlyBase tau-RM	Figure for tau-RM							
FBtr0073527	bif-RC	0.045802	0.040404	20.2	FlyBase bif-RC	Figure for bif-RC							
FBtr0111274	CG17528-RC	0.558466	0.036727	20.1	FlyBase CG17528-RC	Figure for CG17528-RC							
													
Cluster-44	total=11	enrichmentScore=0.3726661687452589	phaseStdDev=5.62555149443791	"IGc2,Immunoglobulin subtype 2,FN3,Immunoglobulin I-set,IG,synapse organization,Immunoglobulin subtype,Immunoglobulin-like domain,Immunoglobulin-like fold,Immunoglobulin domain,Fibronectin, type IIIAnnotation Cluster 44"	Enrichment Score: 0.3726661687452589								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00408:IGc2	8	1.36286201	0.250504549	-0.462116375	5.060804596	"FBtr0077418, FBtr0080485, FBtr0072594, FBtr0299967, FBtr0334483, FBtr0301763, FBtr0077425, FBtr0080489"	246	109	5218	1.556798687	1	1
INTERPRO	IPR003598:Immunoglobulin subtype 2	8	1.36286201	0.277838467	-0.462116375	5.060804596	"FBtr0077418, FBtr0080485, FBtr0072594, FBtr0299967, FBtr0334483, FBtr0301763, FBtr0077425, FBtr0080489"	534	109	10984	1.509672542	1	1
SMART	SM00060:FN3	4	0.681431005	0.393518064	17.2293305	5.077533813	"FBtr0077418, FBtr0334483, FBtr0301763, FBtr0077425"	246	48	5218	1.767615176	1	1
INTERPRO	IPR013098:Immunoglobulin I-set	5	0.851788756	0.399270247	0.2194276	6.206825982	"FBtr0077418, FBtr0299967, FBtr0334483, FBtr0301763, FBtr0077425"	534	66	10984	1.558279423	1	1
SMART	SM00409:IG	7	1.192504259	0.422324075	-0.356642571	5.401996467	"FBtr0077418, FBtr0080485, FBtr0072594, FBtr0299967, FBtr0334483, FBtr0301763, FBtr0077425"	246	111	5218	1.337654728	1	1
GOTERM_BP_DIRECT	GO:0050808~synapse organization	4	0.681431005	0.442599699	6.2510615	4.500804467	"FBtr0072594, FBtr0299967, FBtr0301763, FBtr0112890"	463	58	10996	1.637893796	1	0.985803017
INTERPRO	IPR003599:Immunoglobulin subtype	7	1.192504259	0.4534499	-0.356642571	5.401996467	"FBtr0077418, FBtr0080485, FBtr0072594, FBtr0299967, FBtr0334483, FBtr0301763, FBtr0077425"	534	111	10984	1.297162331	1	1
INTERPRO	IPR007110:Immunoglobulin-like domain	8	1.36286201	0.484118785	-0.462116375	5.060804596	"FBtr0077418, FBtr0080485, FBtr0072594, FBtr0299967, FBtr0334483, FBtr0301763, FBtr0077425, FBtr0080489"	534	135	10984	1.218920793	1	1
INTERPRO	IPR013783:Immunoglobulin-like fold	10	1.703577513	0.491707832	-0.6475184	4.689658193	"FBtr0077418, FBtr0080485, FBtr0072594, FBtr0299967, FBtr0334483, FBtr0079589, FBtr0079534, FBtr0301763, FBtr0077425, FBtr0080489"	534	177	10984	1.162106689	1	1
UP_KEYWORDS	Immunoglobulin domain	3	0.511073254	0.594329044	2.559766	5.093688677	"FBtr0072594, FBtr0301763, FBtr0077425"	587	47	13921	1.513755482	1	0.921658986
INTERPRO	"IPR003961:Fibronectin, type III"	4	0.681431005	0.606680801	17.2293305	5.077533813	"FBtr0077418, FBtr0334483, FBtr0301763, FBtr0077425"	534	64	10984	1.285580524	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0080485	kek4-RA	2.102918	0.02037	20.5	FlyBase kek4-RA	Figure for kek4-RA							
FBtr0080489	CG16974-RA	3.069238	0	22.8	FlyBase CG16974-RA	Figure for CG16974-RA							
FBtr0334483	bt-RI	0.639462	0.02037	15.5	FlyBase bt-RI	Figure for bt-RI							
FBtr0112890	fz2-RC	1.085078	0.038871	11.2	FlyBase fz2-RC	Figure for fz2-RC							
FBtr0079589	CG8419-RA	2.939234	0.021439	20	FlyBase CG8419-RA	Figure for CG8419-RA							
FBtr0299967	DIP-epsilon-RA	4.498006	0	4.2	FlyBase DIP-epsilon-RA	Figure for DIP-epsilon-RA							
FBtr0077418	CG15630-RA	4.394046	0	21.7	FlyBase CG15630-RA	Figure for CG15630-RA							
FBtr0079534	Tg-RB	1.277826	0.028494	1.2	FlyBase Tg-RB	Figure for Tg-RB							
FBtr0077425	bdl-RA	1.714933	0.015683	22.1	FlyBase bdl-RA	Figure for bdl-RA							
FBtr0072594	dpr20-RA	0.567184	0.042001	23.9	FlyBase dpr20-RA	Figure for dpr20-RA							
FBtr0301763	Nrg-RE	1.818608	0.016774	9.7	FlyBase Nrg-RE	Figure for Nrg-RE							
													
Cluster-45	total=14	enrichmentScore=0.3502092705470006	phaseStdDev=4.115985007487894	"protein kinase C activity,Serine/threonine-protein kinase,Proton acceptor,ATP,Protein kinase,ATPAnnotation Cluster 45"	Enrichment Score: 0.3502092705470006								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	GO:0004697~protein kinase C activity	5	0.851788756	0.041271093	-0.2908782	2.202494516	"FBtr0083399, FBtr0087047, FBtr0336692, FBtr0334836, FBtr0331960"	425	29	9284	3.7663286	0.999999995	1
UP_KEYWORDS	Serine/threonine-protein kinase	8	1.36286201	0.254443293	1.40420475	4.653344264	"FBtr0333223, FBtr0087047, FBtr0336692, FBtr0334606, FBtr0111274, FBtr0334836, FBtr0331960, FBtr0301488"	587	122	13921	1.555114922	1	0.771040281
UP_SEQ_FEATURE	active site:Proton acceptor	5	0.851788756	0.887793136	1.422077	3.46178034	"FBtr0087047, FBtr0088422, FBtr0334836, FBtr0331960, FBtr0302115"	171	116	3113	0.784684412	1	1
UP_SEQ_FEATURE	binding site:ATP	4	0.681431005	0.928025539	-0.16733	2.418625701	"FBtr0087047, FBtr0080590, FBtr0334836, FBtr0331960"	171	103	3113	0.7069778	1	1
UP_SEQ_FEATURE	domain:Protein kinase	3	0.511073254	0.949839679	-1.052152333	2.160561223	"FBtr0087047, FBtr0334836, FBtr0331960"	171	84	3113	0.650167084	1	1
UP_SEQ_FEATURE	nucleotide phosphate-binding region:ATP	7	1.192504259	0.963796572	-0.056284571	2.986534757	"FBtr0071883, FBtr0087047, FBtr0088422, FBtr0080590, FBtr0334836, FBtr0331960, FBtr0075347"	171	196	3113	0.650167084	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0111274	CG17528-RC	0.558466	0.036727	20.1	FlyBase CG17528-RC	Figure for CG17528-RC							
FBtr0334836	ninaC-RD	1.840505	0.013115	23.7	FlyBase ninaC-RD	Figure for ninaC-RD							
FBtr0088422	Pfk-RB	2.59464	0.008018	5.2	FlyBase Pfk-RB	Figure for Pfk-RB							
FBtr0331960	Pkc53E-RF	1.486684	0.027401	20	FlyBase Pkc53E-RF	Figure for Pkc53E-RF							
FBtr0071883	blw-RA	0.839667	0.040404	21.2	FlyBase blw-RA	Figure for blw-RA							
FBtr0080590	bgm-RA	1.642972	0.016774	2.5	FlyBase bgm-RA	Figure for bgm-RA							
FBtr0334606	gish-RM	1.099842	0.041578	6.6	FlyBase gish-RM	Figure for gish-RM							
FBtr0333223	nmo-RH	1.403179	0.005379	10.2	FlyBase nmo-RH	Figure for nmo-RH							
FBtr0301488	Lkb1-RJ	1.374105	0.005379	22.9	FlyBase Lkb1-RJ	Figure for Lkb1-RJ							
FBtr0302115	Eno-RF	1.490995	0.025327	5.1	FlyBase Eno-RF	Figure for Eno-RF							
FBtr0336692	Tao-RJ	1.051403	0.02585	2.6	FlyBase Tao-RJ	Figure for Tao-RJ							
FBtr0087047	inaC-RA	4.90405	0	1.1	FlyBase inaC-RA	Figure for inaC-RA							
FBtr0075347	Dbp73D-RA	0.882414	0.041225	22	FlyBase Dbp73D-RA	Figure for Dbp73D-RA							
FBtr0083399	GckIII-RA	1.288401	0.027401	23.1	FlyBase GckIII-RA	Figure for GckIII-RA							
													
Cluster-46	total=3	enrichmentScore=0.3088534788853477	phaseStdDev=4.648716689421788	"Peptidase M13, C-terminal domain,Peptidase M13, N-terminal domain,Peptidase M13,Metallopeptidase, catalytic domain,metalloendopeptidase activityAnnotation Cluster 46"	Enrichment Score: 0.3088534788853477								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	"IPR018497:Peptidase M13, C-terminal domain"	3	0.511073254	0.307880472	1.57705	4.648716689	"FBtr0084319, FBtr0085329, FBtr0084317"	534	23	10984	2.68295066	1	1
INTERPRO	"IPR008753:Peptidase M13, N-terminal domain"	3	0.511073254	0.361917964	1.57705	4.648716689	"FBtr0084319, FBtr0085329, FBtr0084317"	534	26	10984	2.37337943	1	1
INTERPRO	IPR000718:Peptidase M13	3	0.511073254	0.397064551	1.57705	4.648716689	"FBtr0084319, FBtr0085329, FBtr0084317"	534	28	10984	2.203852327	1	1
INTERPRO	"IPR024079:Metallopeptidase, catalytic domain"	3	0.511073254	0.735512121	1.57705	4.648716689	"FBtr0084319, FBtr0085329, FBtr0084317"	534	53	10984	1.164299343	1	1
GOTERM_MF_DIRECT	GO:0004222~metalloendopeptidase activity	3	0.511073254	0.877585364	1.57705	4.648716689	"FBtr0084319, FBtr0085329, FBtr0084317"	425	78	9284	0.840180995	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0084319	CG4725-RA	1.238456	0.03296	4.7	FlyBase CG4725-RA	Figure for CG4725-RA							
FBtr0084317	CG4721-RA	0.650655	0.047189	5	FlyBase CG4721-RA	Figure for CG4721-RA							
FBtr0085329	CG14528-RA	0.904375	0.014377	19	FlyBase CG14528-RA	Figure for CG14528-RA							
													
Cluster-47	total=6	enrichmentScore=0.2947209054505916	phaseStdDev=5.3775473752210905	"ANK 1,ANK 2,ANK repeat,ANK,Ankyrin repeat,Ankyrin repeat-containing domainAnnotation Cluster 47"	Enrichment Score: 0.2947209054505916								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	repeat:ANK 1	3	0.511073254	0.236927567	13.60059433	5.030354557	"FBtr0302661, FBtr0088471, FBtr0331356"	171	17	3113	3.212590299	1	1
UP_SEQ_FEATURE	repeat:ANK 2	3	0.511073254	0.236927567	13.60059433	5.030354557	"FBtr0302661, FBtr0088471, FBtr0331356"	171	17	3113	3.212590299	1	1
UP_KEYWORDS	ANK repeat	4	0.681431005	0.660473248	17.5598005	5.377547375	"FBtr0344222, FBtr0302661, FBtr0303111, FBtr0088471, FBtr0303117, FBtr0331356"	587	80	13921	1.185775128	1	0.921658986
SMART	SM00248:ANK	4	0.681431005	0.740837877	17.5598005	5.377547375	"FBtr0344222, FBtr0302661, FBtr0303111, FBtr0088471, FBtr0303117, FBtr0331356"	246	81	5218	1.04747566	1	1
INTERPRO	IPR002110:Ankyrin repeat	4	0.681431005	0.781191712	17.5598005	5.377547375	"FBtr0344222, FBtr0302661, FBtr0303111, FBtr0088471, FBtr0303117, FBtr0331356"	534	84	10984	0.979489923	1	1
INTERPRO	IPR020683:Ankyrin repeat-containing domain	4	0.681431005	0.794524584	17.5598005	5.377547375	"FBtr0344222, FBtr0302661, FBtr0303111, FBtr0088471, FBtr0303117, FBtr0331356"	534	86	10984	0.956711088	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0303111	Ank2-RP	3.290047	0	22.4	FlyBase Ank2-RP	Figure for Ank2-RP							
FBtr0303117	Ank2-RL	1.400152	0.035105	22.2	FlyBase Ank2-RL	Figure for Ank2-RL							
FBtr0331356	trp-RB	1.2372	0.038189	10.8	FlyBase trp-RB	Figure for trp-RB							
FBtr0302661	rdgA-RB	1.017723	0.039811	20.7	FlyBase rdgA-RB	Figure for rdgA-RB							
FBtr0088471	trpl-RA	2.006272	0.005379	9.3	FlyBase trpl-RA	Figure for trpl-RA							
FBtr0344222	Ank2-RY	1.530906	0.039811	20	FlyBase Ank2-RY	Figure for Ank2-RY							
													
Cluster-48	total=11	enrichmentScore=0.2520129765557645	phaseStdDev=6.56156916564483	"negative regulation of transcription from RNA polymerase II promoter,Helix-loop-helix motif,Basic motif,HLH,Myc-type, basic helix-loop-helix (bHLH) domainAnnotation Cluster 48"	Enrichment Score: 0.2520129765557645								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	9	1.533219761	0.289467982	-2.705070091	6.561569166	"FBtr0333255, FBtr0071320, FBtr0074924, FBtr0100153, FBtr0073484, FBtr0333253, FBtr0333768, FBtr0307093, FBtr0076785, FBtr0077567, FBtr0070477"	463	149	10996	1.434531144	1	0.985803017
UP_SEQ_FEATURE	domain:Helix-loop-helix motif	3	0.511073254	0.528881049	2.521235667	3.578134126	"FBtr0074924, FBtr0100153, FBtr0076785"	171	32	3113	1.706688596	1	1
UP_SEQ_FEATURE	DNA-binding region:Basic motif	3	0.511073254	0.608796485	2.521235667	3.578134126	"FBtr0074924, FBtr0100153, FBtr0076785"	171	37	3113	1.476055002	1	1
SMART	SM00353:HLH	3	0.511073254	0.756064714	2.521235667	3.578134126	"FBtr0074924, FBtr0100153, FBtr0076785"	246	57	5218	1.116388532	1	1
INTERPRO	"IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain"	3	0.511073254	0.779732204	2.521235667	3.578134126	"FBtr0074924, FBtr0100153, FBtr0076785"	534	58	10984	1.06392871	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0333253	tim-RM	4.829632	0	15.2	FlyBase tim-RM	Figure for tim-RM							
FBtr0070477	per-RA	3.093835	0	12.4	FlyBase per-RA	Figure for per-RA							
FBtr0333255	tim-RO	3.080302	0	15.6	FlyBase tim-RO	Figure for tim-RO							
FBtr0077567	tim-RB	2.264476	0.005379	14.2	FlyBase tim-RB	Figure for tim-RB							
FBtr0071320	lz-RA	0.243223	0.048636	21.7	FlyBase lz-RA	Figure for lz-RA							
FBtr0073484	dlg1-RF	1.72059	0.018529	21.9	FlyBase dlg1-RF	Figure for dlg1-RF							
FBtr0076785	Clk-RA	2.798951	0.008018	0.9	FlyBase Clk-RA	Figure for Clk-RA							
FBtr0100153	h-RB	0.899353	0.03782	7.5	FlyBase h-RB	Figure for h-RB							
FBtr0307093	salr-RC	0.92951	0.039622	20.2	FlyBase salr-RC	Figure for salr-RC							
FBtr0074924	cyc-RA	1.608095	0.022309	23.2	FlyBase cyc-RA	Figure for cyc-RA							
FBtr0333768	Smr-RG	0.645032	0.041225	9.6	FlyBase Smr-RG	Figure for Smr-RG							
													
Cluster-49	total=8	enrichmentScore=0.18529958192350643	phaseStdDev=1.9125261117793229	"ribosome,cytoplasmic translation,cytosolic ribosomeAnnotation Cluster 49"	Enrichment Score: 0.18529958192350643								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0005840~ribosome	6	1.022146508	0.458329037	-1.492153667	2.192406856	"FBtr0346158, FBtr0079058, FBtr0339970, FBtr0299869, FBtr0111011, FBtr0089318"	455	98	10026	1.349091725	1	0.981412639
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	5	0.851788756	0.610661435	-0.645494	1.800961936	"FBtr0346158, FBtr0088425, FBtr0339970, FBtr0299869, FBtr0082403"	463	100	10996	1.187473002	1	0.985803017
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	3	0.511073254	0.993398242	-0.170868333	2.170473116	"FBtr0346158, FBtr0339970, FBtr0299869"	455	153	10026	0.432062056	1	0.993398242
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0082403	RpL24-like-RA	2.841993	0.005379	22.2	FlyBase RpL24-like-RA	Figure for RpL24-like-RA							
FBtr0079058	mRpL24-RA	1.526924	0.018529	22.2	FlyBase mRpL24-RA	Figure for mRpL24-RA							
FBtr0339970	RpS23-RB	0.576329	0.03836	2	FlyBase RpS23-RB	Figure for RpS23-RB							
FBtr0088425	RpLP0-like-RA	1.06811	0.03836	23.1	FlyBase RpLP0-like-RA	Figure for RpLP0-like-RA							
FBtr0299869	RpL10-RC	-0.355912	0.03836	20.9	FlyBase RpL10-RC	Figure for RpL10-RC							
FBtr0346158	RpS8-RF	0.73177	0.03782	0.7	FlyBase RpS8-RF	Figure for RpS8-RF							
FBtr0089318	mRpL13-RA	1.068393	0.040599	19.5	FlyBase mRpL13-RA	Figure for mRpL13-RA							
FBtr0111011	mRpL34-RA	0.743558	0.02037	21.9	FlyBase mRpL34-RA	Figure for mRpL34-RA							
													
Cluster-50	total=3	enrichmentScore=0.18342070312380365	phaseStdDev=0.34752473123058353	"RNA helicase, ATP-dependent, DEAD-box, conserved site,RNA secondary structure unwinding,ATP-dependent RNA helicase activity,DNA/RNA helicase, DEAD/DEAH box type, N-terminal,DEXDc,HELICc,Helicase, superfamily 1/2, ATP-binding domain,Helicase, C-terminalAnnotation Cluster 50"	Enrichment Score: 0.18342070312380365								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	"IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site"	3	0.511073254	0.326031507	-2.054386333	0.347524731	"FBtr0072576, FBtr0075347, FBtr0081468"	534	24	10984	2.571161049	1	1
GOTERM_BP_DIRECT	GO:0010501~RNA secondary structure unwinding	3	0.511073254	0.37646461	-2.054386333	0.347524731	"FBtr0072576, FBtr0075347, FBtr0081468"	463	31	10996	2.298334843	1	0.985803017
GOTERM_MF_DIRECT	GO:0004004~ATP-dependent RNA helicase activity	3	0.511073254	0.662223067	-2.054386333	0.347524731	"FBtr0072576, FBtr0075347, FBtr0081468"	425	49	9284	1.337430972	1	1
INTERPRO	"IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal"	3	0.511073254	0.715807714	-2.054386333	0.347524731	"FBtr0072576, FBtr0075347, FBtr0081468"	534	51	10984	1.209958141	1	1
SMART	SM00487:DEXDc	3	0.511073254	0.864526551	-2.054386333	0.347524731	"FBtr0072576, FBtr0075347, FBtr0081468"	246	73	5218	0.871700635	1	1
SMART	SM00490:HELICc	3	0.511073254	0.869569441	-2.054386333	0.347524731	"FBtr0072576, FBtr0075347, FBtr0081468"	246	74	5218	0.859920897	1	1
INTERPRO	"IPR014001:Helicase, superfamily 1/2, ATP-binding domain"	3	0.511073254	0.880540567	-2.054386333	0.347524731	"FBtr0072576, FBtr0075347, FBtr0081468"	534	74	10984	0.83389007	1	1
INTERPRO	"IPR001650:Helicase, C-terminal"	3	0.511073254	0.885152283	-2.054386333	0.347524731	"FBtr0072576, FBtr0075347, FBtr0081468"	534	75	10984	0.822771536	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0081468	CG9253-RA	1.952054	0.013115	21.5	FlyBase CG9253-RA	Figure for CG9253-RA							
FBtr0075347	Dbp73D-RA	0.882414	0.041225	22	FlyBase Dbp73D-RA	Figure for Dbp73D-RA							
FBtr0072576	CG32344-RA	1.526302	0.037102	22.4	FlyBase CG32344-RA	Figure for CG32344-RA							
													
Cluster-51	total=7	enrichmentScore=0.14603525566958722	phaseStdDev=5.475787317759166	"PH,Pleckstrin homology domain,Pleckstrin homology-like domainAnnotation Cluster 51"	Enrichment Score: 0.14603525566958722								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00233:PH	4	0.681431005	0.616098873	1.68940625	4.648286715	"FBtr0303857, FBtr0302187, FBtr0336747, FBtr0290096"	246	67	5218	1.266351171	1	1
INTERPRO	IPR001849:Pleckstrin homology domain	4	0.681431005	0.68579132	1.68940625	4.648286715	"FBtr0303857, FBtr0302187, FBtr0336747, FBtr0290096"	534	72	10984	1.142738244	1	1
INTERPRO	IPR011993:Pleckstrin homology-like domain	6	1.022146508	0.863081553	-1.579033857	5.475787318	"FBtr0070651, FBtr0303857, FBtr0304060, FBtr0100670, FBtr0302187, FBtr0336747, FBtr0290096"	534	151	10984	0.817322717	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0100670	norpA-RC	0.784421	0.005379	19.6	FlyBase norpA-RC	Figure for norpA-RC							
FBtr0304060	mv-RB	1.760441	0.031037	20.5	FlyBase mv-RB	Figure for mv-RB							
FBtr0303857	kst-RF	1.985823	0.008018	21.1	FlyBase kst-RF	Figure for kst-RF							
FBtr0070651	norpA-RA	1.235111	0.016774	14.1	FlyBase norpA-RA	Figure for norpA-RA							
FBtr0302187	Efa6-RG	0.904552	0.030408	4.1	FlyBase Efa6-RG	Figure for Efa6-RG							
FBtr0336747	RtGEF-RF	1.209997	0.028494	21.4	FlyBase RtGEF-RF	Figure for RtGEF-RF							
FBtr0290096	RhoGAP15B-RC	2.516895	0.005379	8.1	FlyBase RhoGAP15B-RC	Figure for RhoGAP15B-RC							
													
