#transcriptID	transcriptSymbol	chrom	strand	positions
FBtr0310033	CG1888-RD	2R	-	9548136:9554136,9546297:9546726
FBtr0081178	Ttc19-RA	2L	-	19045149:19051149,19044318:19044370
FBtr0310422	CG4266-RC	2R	-	21168660:21174660,21168184:21168432
FBtr0334319	bel-RB	3R	-	8660762:8666762,8658388:8659963
FBtr0345391	Max-RD	3L	-	19264185:19270185,19263906:19263981
FBtr0303656	para-RF	X	-	16527415:16533415,16522154:16527277
FBtr0077942	NLaz-RA	2L	-	1361736:1367736,1361579:1361641
FBtr0072208	CG3803-RA	2R	-	23954049:23960049,23953742:23953823
FBtr0075427	Pdh-RB	3L	-	16354298:16360298,16354079:16354138
FBtr0302607	CG2246-RJ	3R	-	30595966:30601966,30595627:30595721
FBtr0344474	TyrR-RB	3R	-	17758979:17764979,17757710:17758709
FBtr0300523	bun-RF	2L	-	12546612:12552612,12540901:12545643
FBtr0111026	Poxm-RC	3R	-	8333793:8339793,8320913:8333115
FBtr0332358	PRL-1-RD	2L	-	16256156:16262156,16250159:16256050
FBtr0301648	DCP1-RB	2R	-	23890277:23896277
FBtr0331955	CG1513-RC	2R	-	9886469:9892469,9885981:9886200
FBtr0333419	lmgA-RC	2L	-	8528506:8534506
FBtr0086778	lolal-RC	2R	-	18158019:18164019,18156166:18157846
FBtr0100541	RpS13-RB	2L	-	8364597:8370597,8364316:8364541
FBtr0306776	Dscam1-RBL	2R	-	7381870:7387870,7377715:7381471
FBtr0346620	Pp4-19C-RH	X	-	20424003:20430003,20422953:20423646
FBtr0333570	Cip4-RJ	3L	-	4364103:4370103,4363128:4363988
FBtr0083857	ninaE-RA	3R	-	19888207:19894207,19887960:19888023
FBtr0085944	CG15219-RA	2L	-	22105513:22111513,22105298:22105351
FBtr0083739	Dl-RA	3R	-	19326218:19332218,19320130:19325482
FBtr0072864	dre4-RA	3L	-	1876313:1882313,1875916:1876110
FBtr0339825	CG34325-RB	X	-	16721412:16727412,16720775:16721200
FBtr0088166	Or47b-RA	2R	-	11321313:11327313,11321113:11321179
FBtr0084235	CG5379-RA	3R	-	22388484:22394484,22387577:22388332
FBtr0310288	moody-RE	X	-	2048396:2054396,2047648:2048316
FBtr0331674	pes-RF	2L	-	7991581:7997581,7989552:7991358
FBtr0301377	jbug-RI	2R	-	22729273:22735273,22727782:22729142
FBtr0308821	CG13707-RC	3L	-	4840097:4846097,4838839:4839778
FBtr0076780	Pdp1-RD	3L	-	7833074:7839074,7831828:7832554
FBtr0089295	CG33483-RA	3R	-	30901436:30907436,30901323:30901376
FBtr0302430	CG42263-RB	3L	-	19955800:19961800,19955548:19955608
FBtr0071906	YME1L-RB	2R	-	22886049:22892049,22885812:22885916
FBtr0344883	Gr43a-RC	2R	-	7393162:7399162,7392933:7392996
FBtr0310621	Hrb87F-RD	3R	-	13660532:13666532,13659649:13660340
FBtr0071368	Lst8-RA	X	-	9605970:9611970,9605706:9605762
FBtr0336870	ste24c-RC	2R	-	16998595:17004595,16998401:16998460
FBtr0083860	CG4572-RA	3R	-	19864394:19870394,19864192:19864276
FBtr0082190	tws-RE	3R	-	10134483:10140483,10133588:10134380
FBtr0332495	CG14418-RB	X	-	2883662:2889662,2883468:2883559
FBtr0345991	Arp10-RB	X	-	19646177:19652177,19645786:19645846
FBtr0331625	CG13280-RB	2L	-	16804078:16810078,16803676:16803957
FBtr0302161	Sema1b-RC	2R	-	17679256:17685256,17678783:17679060
FBtr0302554	CG42662-RA	2R	-	15699895:15705895,15699619:15699688
FBtr0073335	CG15019-RA	3L	-	4406060:4412060,4405616:4405785
FBtr0076882	eco-RA	3L	-	7339341:7345341,7339246:7339310
FBtr0085419	beta4GalNAcTB-RA	3R	-	29034009:29040009
FBtr0085598	janB-RA	3R	-	30038729:30044729,30038529:30038587
FBtr0346950	CG43178-RC	2R	-	10352889:10358889
FBtr0307073	uif-RE	2L	-	7009910:7015910,7008647:7009873
FBtr0089649	Cf2-RA	2L	-	4883108:4889108,4882493:4882889
FBtr0082096	Unc-115b-RB	3R	-	9691842:9697842,9691104:9691165
FBtr0301495	osp-RE	2L	-	14689341:14695341,14636160:14688466
FBtr0071685	CG30284-RB	2R	-	21651987:21657987,21651425:21651509
FBtr0344779	CG4587-RN	2L	-	15679363:15685363,15673040:15679128
FBtr0075655	CG16959-RA	3L	-	15125322:15131322,15124325:15125084
FBtr0331444	twe-RB	2L	-	16261765:16267765,16261506:16261591
FBtr0087861	ox-RA	2R	-	12757530:12763530,12757232:12757298
FBtr0299623	RhoGAP18B-RC	X	-	19158202:19164202,19155002:19158120
FBtr0332068	CG10226-RB	3L	-	6238992:6244992,6238782:6238895
FBtr0070495	crm-RB	X	-	2738774:2744774,2738490:2738668
FBtr0331182	CG32206-RE	3L	-	19412913:19418913,19386126:19412374
FBtr0112937	f-cup-RC	3R	-	13700839:13706839,13700146:13700683
FBtr0073102	CG33160-RA	3L	-	3206364:3212364
FBtr0339080	Trpm-RH	2R	-	15309369:15315369,15307299:15309196
FBtr0089626	TBPH-RA	2R	-	23862594:23868594,23861458:23862261
FBtr0340026	ND-B16.6-RB	X	-	6350402:6356402,6350239:6350293
FBtr0334282	Rgk1-RA	2R	-	19325497:19331497,19319687:19325198
FBtr0304654	sm-RK	2R	-	19631509:19637509,19629071:19631037
FBtr0071738	CG4372-RA	2R	-	21838799:21844799
FBtr0344842	CG7028-RE	3L	-	211458:217458,211220:211292
FBtr0347148	MetRS-m-RC	3R	-	14259992:14265992,14259748:14259814
FBtr0087772	GLaz-RA	2R	-	13168033:13174033,13166631:13167886
FBtr0114359	mod(mdg4)-RAA	3R	-	21377402:21383402,21377077:21377288
FBtr0087460	Ciao1-RA	2R	-	14855049:14861049
FBtr0071083	CG32719-RA	X	-	7547993:7553993,7547290:7547936
FBtr0302142	Mf-RF	3R	-	15180422:15186422,15179181:15180293
FBtr0087249	CG8435-RA	2R	-	16170862:16176862,16170706:16170760
FBtr0077692	CG3119-RB	2L	-	2837834:2843834,2837287:2837346
FBtr0445838	AlkB-RB	X	-	15859488:15865488,15859142:15859193
FBtr0304946	CG43115-RA	X	-	6066417:6072417
FBtr0073965	CG15027-RA	X	-	15085828:15091828,15085721:15085788
FBtr0306642	Mf-RK	3R	-	15180241:15186241,15179181:15180208
FBtr0345424	zda-RD	2R	-	18632046:18638046,18631631:18631750
FBtr0333921	MRG15-RB	3R	-	15278110:15284110,15277901:15277961
FBtr0083324	CG10311-RA	3R	-	16357016:16363016,16352360:16356800
FBtr0083617	CG7208-RA	3R	-	18185716:18191716,18185146:18185535
FBtr0110777	Spn53F-RB	2R	-	17124238:17130238,17123149:17123210
FBtr0343993	Syt1-RH	2L	-	2799980:2805980,2798837:2799909
FBtr0087615	DJ-1alpha-RA	2R	-	13943378:13949378,13943130:13943183
FBtr0332912	LRR-RG	2R	-	7698903:7704903,7688294:7698110
FBtr0083030	Mf-RA	3R	-	15180271:15186271,15179181:15180208
FBtr0113156	CG6709-RB	3L	-	9894744:9900744,9894533:9894590
FBtr0086212	CG15237-RA	2R	-	6809767:6815767,6809512:6809570
FBtr0310329	sona-RE	2R	-	23798396:23804396,23792120:23797397
FBtr0330220	CG9586-RC	2L	-	9166515:9172515,9166165:9166223
FBtr0074439	CG8611-RA	X	-	17422146:17428146,17421921:17421983
FBtr0345596	CG7182-RB	3L	-	8346383:8352383
FBtr0084846	alrm-RA	3R	-	25382782:25388782
FBtr0301173	nompB-RC	2L	-	21589424:21595424,21589174:21589227
FBtr0303671	para-RU	X	-	16527415:16533415,16522154:16527277
FBtr0086961	CG6550-RA	2R	-	17427512:17433512,17426372:17426432
FBtr0344425	CG45064-RA	X	-	14882587:14888587,14878545:14882174
FBtr0339624	Dd-RC	X	-	21324010:21330010,21322163:21323131
FBtr0310464	Kmn2-RD	3R	-	8001310:8007310,8001215:8001279
FBtr0080603	CG15293-RA	2L	-	14109291:14115291,14109141:14109195
FBtr0346016	CG32533-RB	X	-	19479320:19485320,19478624:19478684
FBtr0100030	CG33985-RA	3L	-	15526813:15532813,15526131:15526193
FBtr0273401	CG32196-RB	3L	-	18461025:18467025,18460347:18460869
FBtr0088664	Ance-4-RA	2R	-	9042143:9048143,9041812:9042046
FBtr0289955	Kap3-RG	X	-	11339589:11345589,11338790:11339214
FBtr0085272	CG5003-RA	3R	-	27916517:27922517,27916063:27916148
FBtr0089623	eIF4G2-RA	3R	-	23818820:23824820,23817031:23818227
FBtr0336953	Ir67a-RB	3L	-	9544000:9550000
FBtr0331699	Ude-RC	3R	-	24799669:24805669,24799308:24799364
FBtr0308892	CG40498-RG	2R	-	951253:957253,949947:951127
FBtr0088090	Egm-RA	2R	-	11619024:11625024,11617841:11617902
FBtr0302052	Kdm4B-RB	2R	-	13189254:13195254,13187909:13189088
FBtr0078274	Six4-RA	3L	-	20792778:20798778,20791115:20792128
FBtr0333364	msn-RH	3L	-	2586541:2592541,2585739:2586403
FBtr0332671	Rap1-RC	3L	-	1861817:1867817
FBtr0084851	CG10562-RA	3R	-	25322758:25328758,25322452:25322504
FBtr0302113	CG17233-RD	3L	-	20241519:20247519,20240533:20241319
FBtr0087244	Shark-RA	2R	-	16202885:16208885,16202641:16202749
FBtr0076124	CG11658-RA	3L	-	11708554:11714554,11707572:11708392
FBtr0078881	CG14655-RA	3R	-	4780303:4786303,4779120:4779619
FBtr0330298	TkR99D-RC	3R	-	29969448:29975448,29962031:29968983
FBtr0332694	CG6933-RE	3L	-	20220421:20226421,20220236:20220345
FBtr0083798	CG6300-RA	3R	-	19773226:19779226,19772974:19773032
FBtr0335430	CG31523-RF	3R	-	4475427:4481427,4468600:4475252
FBtr0305129	CG18213-RB	3R	-	17040204:17046204,17039874:17040006
FBtr0337082	cni-RC	2L	-	16310727:16316727,16310641:16310691
FBtr0085054	TwdlO-RA	3R	-	26626739:26632739
FBtr0078278	Pex16-RA	3L	-	20778265:20784265,20777983:20778043
FBtr0077319	Tak1-RA	X	-	20524929:20530929,20523359:20523899
FBtr0082731	CG14384-RA	3R	-	12966721:12972721,12966477:12966553
FBtr0339763	Prosap-RC	2R	-	14140903:14146903,14114297:14139789
FBtr0330188	grn-RC	3R	-	8181445:8187445,8179851:8181199
FBtr0080473	Nnp-1-RA	2L	-	13366190:13372190
FBtr0305975	mrt-RF	3R	-	27280712:27286712,27280043:27280670
FBtr0301525	Pvf3-RE	2L	-	7134070:7140070,7107552:7132724
FBtr0345716	CG2658-RC	X	-	2698212:2704212,2697789:2697849
FBtr0330087	CG13675-RD	3L	-	8165519:8171519,8164460:8165431
FBtr0300655	CG42514-RA	3L	-	16496237:16502237,16495537:16496053
FBtr0100168	Yippee-RB	X	-	13387418:13393418,13387041:13387186
FBtr0084978	Exo84-RB	3R	-	26052258:26058258,26052130:26052190
FBtr0073938	Ag5r2-RA	X	-	14784053:14790053,14783247:14783489
FBtr0078540	ArfGAP3-RB	3L	-	22717277:22723277,22717081:22717194
FBtr0344272	ksr-RB	3R	-	5483907:5489907,5480096:5480353
FBtr0306747	cnc-RA	3R	-	23189130:23195130,23187804:23187877
FBtr0073536	CG2247-RA	X	-	11611653:11617653,11610835:11611532
FBtr0080168	abo-RA	2L	-	10975294:10981294,10974211:10974268
FBtr0071682	pirk-RA	2R	-	21662268:21668268
FBtr0078461	CG32447-RB	3L	-	21706366:21712366,21694568:21704548
FBtr0307019	CG15130-RB	2L	-	20424661:20430661,20424428:20424488
FBtr0080115	Ubc2-RA	2L	-	10767940:10773940,10767013:10767657
FBtr0334660	CG9821-RD	3R	-	8820683:8826683,8819264:8820543
FBtr0305334	Eig71Eh-RB	3L	-	15659442:15665442,15659129:15659192
FBtr0081946	CG9801-RC	3R	-	8747676:8753676,8739092:8747526
FBtr0080934	LSm7-RA	2L	-	16743101:16749101,16742987:16743046
FBtr0088243	CG30015-RB	2R	-	10874772:10880772,10862956:10873854
FBtr0088250	dgo-RB	2R	-	10819885:10825885,10819104:10819292
FBtr0304120	trh-RA	3L	-	377317:383317,373896:376419
FBtr0339287	CG13743-RC	2R	-	9060609:9066609,9059549:9060589
FBtr0344854	insv-RB	2L	-	2576679:2582679,2576573:2576637
FBtr0330348	bru3-RK	3L	-	13666750:13672750,13664875:13666386
FBtr0306090	CG12814-RC	3R	-	10189604:10195604,10188086:10189500
FBtr0273438	CG9760-RC	3L	-	12163736:12169736,12159684:12163500
FBtr0075951	Klc-RA	3L	-	12750057:12756057,12748683:12749963
FBtr0332905	Asator-RH	4	-	482721:488721,481705:482484
FBtr0339242	CG6420-RB	3R	-	26725217:26731217,26723115:26724167
FBtr0332154	trc-RB	3L	-	19834305:19840305,19833144:19833610
FBtr0085416	alpha-Man-Ib-RA	3R	-	29112823:29118823,29112314:29112411
FBtr0307037	fusl-RC	2L	-	5338074:5344074,5332851:5337751
FBtr0073537	CG2533-RA	X	-	11604195:11610195,11603895:11604075
FBtr0301298	HDAC4-RD	X	-	13285633:13291633,13282230:13285203
FBtr0332620	Evi5-RE	X	-	11454339:11460339,11439107:11453796
FBtr0332296	Rph-RD	X	-	10757667:10763667,10753677:10757395
FBtr0083647	fru-RD	3R	-	18450255:18456255,18435791:18450235
FBtr0304932	CG31805-RC	2L	-	16900474:16906474,16900300:16900354
FBtr0340348	CG9213-RB	X	-	15574536:15580536,15573233:15573287
FBtr0343769	ppk17-RB	2L	-	16760555:16766555,16759761:16759880
FBtr0307082	l(3)neo38-RF	3R	-	11773571:11779571,11771301:11773522
FBtr0083356	CG10324-RA	3R	-	16647005:16653005,16646742:16646791
FBtr0346151	CG31183-RB	3R	-	15875940:15881940,15870233:15875578
FBtr0079320	cort-RA	2L	-	6676636:6682636,6676372:6676431
FBtr0302109	Pcf11-RC	2R	-	14871072:14877072,14870313:14870920
FBtr0339996	Fs-RB	2R	-	15241590:15247590,15236506:15241197
FBtr0302031	elfless-RC	2L	-	18011476:18017476,18011207:18011263
FBtr0332387	CG2938-RC	X	-	3936470:3942470,3936282:3936384
FBtr0346264	frma-RG	X	-	5496053:5502053,5495773:5495837
FBtr0078334	CG11037-RA	3L	-	20961387:20967387,20960651:20960727
FBtr0308028	RunxA-RB	X	-	20623774:20629774,20604900:20623073
FBtr0088764	CG2121-RA	2R	-	8411231:8417231,8404286:8411097
FBtr0072609	CG3344-RA	3L	-	687959:693959,687373:687802
FBtr0086776	lolal-RB	2R	-	18158193:18164193,18156166:18157973
FBtr0088315	CG12896-RA	2R	-	10427916:10433916,10427675:10427737
FBtr0074237	CG9917-RA	X	-	16323232:16329232
FBtr0344078	CG12535-RF	X	-	3448944:3454944,3424293:3448895
FBtr0303836	CadN2-RC	2L	-	17843609:17849609,17827884:17843534
FBtr0333102	CG33671-RB	2R	-	12635683:12641683
FBtr0112690	spri-RI	X	-	10493737:10499737,10492333:10492500
FBtr0339616	CG4393-RC	3R	-	23382822:23388822,23382548:23382677
FBtr0310277	CG9932-RC	2L	-	13060141:13066141,13050180:13059217
FBtr0075864	CG10171-RA	3L	-	13387834:13393834,13387599:13387666
FBtr0072197	CG4324-RA	2R	-	24017199:24023199,24016832:24016960
FBtr0074524	wupA-RG	X	-	18116826:18122826,18114647:18116707
FBtr0075360	Prosbeta6-RA	3L	-	16610419:16616419,16610155:16610230
FBtr0333361	klu-RC	3L	-	11008834:11014834,10996278:11008350
FBtr0081187	Nak-RA	2L	-	18968745:18974745,18965590:18968253
FBtr0082877	CG9926-RA	3R	-	13951139:13957139
FBtr0087114	Picot-RA	2R	-	16667676:16673676,16664205:16667552
FBtr0089497	Gdh-RF	3R	-	23943102:23949102,23938556:23942594
FBtr0307877	Hk-RE	X	-	10244581:10250581,10242881:10243381
FBtr0339331	CG11741-RB	3R	-	8528878:8534878
FBtr0079781	alien-RB	2L	-	8997380:9003380,8997126:8997210
FBtr0080638	ppk-RA	2L	-	14381173:14387173,14380806:14380863
FBtr0333399	CG32313-RC	3L	-	1545744:1551744,1545606:1545653
FBtr0084361	CG17121-RA	3R	-	23048215:23054215,23045918:23047733
FBtr0345649	St4-RB	2R	-	13971264:13977264,13970976:13971043
FBtr0331517	CG43783-RB	3L	-	8936814:8942814,8935204:8935265
FBtr0344335	eIF4G2-RC	3R	-	23819238:23825238,23818612:23818981
FBtr0330065	CG10103-RF	3L	-	6756498:6762498,6756159:6756223
FBtr0082762	CCHa2-RA	3R	-	13395198:13401198,13391946:13395061
FBtr0306587	Fer1HCH-RF	3R	-	30387601:30393601,30386829:30387464
FBtr0072912	CG5707-RA	3L	-	2192222:2198222,2190411:2191940
FBtr0336928	Eglp2-RC	2R	-	23616755:23622755,23604952:23616511
FBtr0336789	CG9997-RB	3R	-	28756980:28762980,28755749:28755920
FBtr0344010	Fer2-RC	3R	-	16151313:16157313,16150808:16151174
FBtr0076863	CG8543-RA	3L	-	7470303:7476303
FBtr0086497	Ir56d-RA	2R	-	19513572:19519572
FBtr0339442	ebo-RB	X	-	476580:482580,476293:476394
FBtr0088942	mRpL52-RA	2R	-	7674401:7680401,7674193:7674255
FBtr0333188	Trc8-RE	3R	-	29503798:29509798,29502274:29502729
FBtr0299792	C3G-RD	X	-	6795579:6801579,6791892:6795449
FBtr0100410	GstD1-RB	3R	-	12369269:12375269,12368594:12369203
FBtr0346375	Atg8a-RB	X	-	10767307:10773307,10765803:10767153
FBtr0077365	CG12576-RA	X	-	22482028:22488028,22480899:22481915
FBtr0339742	nemy-RM	2R	-	12662585:12668585,12661197:12662287
FBtr0072102	Eglp4-RA	2R	-	23614711:23620711,23608682:23614673
FBtr0077218	CG10918-RA	X	-	21429257:21435257
FBtr0345359	CG11665-RB	2R	-	5652816:5658816,5647825:5652499
FBtr0300598	ATPCL-RF	2R	-	16000288:16006288,15999971:16000095
FBtr0306774	Dscam1-RBJ	2R	-	7381870:7387870,7377715:7381471
FBtr0305053	Dup99B-RB	3R	-	29715378:29721378
FBtr0302163	Zasp52-RK	2R	-	15814918:15820918,15803488:15814729
FBtr0077329	CG15459-RA	X	-	20413582:20419582,20413272:20413441
FBtr0100382	nrv2-RF	2L	-	6796784:6802784,6791842:6796337
FBtr0308073	CG17734-RC	3R	-	11244000:11250000,11243014:11243489
FBtr0310636	ens-RJ	3L	-	4134551:4140551,4133823:4134454
FBtr0306327	CG17233-RF	3L	-	20241519:20247519,20240533:20241319
FBtr0310314	CG42354-RD	X	-	16095923:16101923,16095691:16095897
FBtr0077161	lama-RA	3L	-	5351480:5357480,5347684:5351319
FBtr0303996	pico-RD	X	-	19845688:19851688,19836755:19845539
FBtr0339663	Gart-RC	2L	-	7023899:7029899,7019383:7023529
FBtr0112400	CG34207-RA	2R	-	22329721:22335721
FBtr0077744	Drp1-RA	2L	-	2585431:2591431,2584402:2585170
FBtr0343047	CG15043-RB	X	-	18494169:18500169,18493775:18493848
FBtr0071549	CG30291-RA	2R	-	21009577:21015577,21009431:21009493
FBtr0070846	CG3149-RA	X	-	5695206:5701206,5694907:5695006
FBtr0334061	Ank2-RW	3L	-	7718396:7724396,7710970:7717367
FBtr0302372	CG34049-RB	2L	-	2265322:2271322,2264710:2264772
FBtr0086542	Fak-RA	2R	-	19437260:19443260,19436480:19436548
FBtr0301171	CG6686-RC	2L	-	11988040:11994040,11987495:11987696
FBtr0309109	hts-RL	2R	-	19424115:19430115,19423798:19424044
FBtr0112407	CG34214-RA	2R	-	24666023:24672023,24665839:24665898
FBtr0077663	toc-RD	2L	-	3112337:3118337,3108862:3112093
FBtr0343032	CG15249-RD	X	-	9899367:9905367,9889161:9899131
FBtr0088429	Cdc2rk-RA	2R	-	10068703:10074703,10068445:10068506
FBtr0306533	Cip4-RF	3L	-	4345498:4351498,4338183:4345396
FBtr0079464	santa-maria-RA	2L	-	7451245:7457245,7447688:7450949
FBtr0076782	Pdp1-RC	3L	-	7828019:7834019,7827288:7827676
FBtr0076366	CG10809-RA	3L	-	9859890:9865890,9859717:9859779
FBtr0310503	CG14450-RB	3L	-	22727790:22733790,22727478:22727528
FBtr0082102	Scm-RA	3R	-	9637612:9643612,9636552:9636610
FBtr0347104	Fmr1-RJ	3R	-	10109986:10115986,10109072:10109816
FBtr0305220	CG31820-RB	2L	-	16006280:16012280,16006095:16006167
FBtr0307346	CG17190-RB	3R	-	20013505:20019505,20012594:20013391
FBtr0333402	Iml1-RE	3L	-	1534035:1540035,1533802:1533857
FBtr0330145	dikar-RF	3L	-	6743165:6749165,6742050:6743026
FBtr0339502	sqh-RB	X	-	6224521:6230521,6224117:6224411
FBtr0344264	GstD10-RB	3R	-	12365736:12371736,12365607:12365691
FBtr0347405	Fatp-RB	2L	-	10517219:10523219,10516894:10516995
FBtr0082882	CG31495-RA	3R	-	13839935:13845935
FBtr0084870	CG10420-RA	3R	-	25235530:25241530,25235199:25235262
FBtr0071628	LSm1-RA	2R	-	21170673:21176673,21170486:21170540
FBtr0075659	Or71a-RB	3L	-	15078448:15084448,15077574:15077632
FBtr0310155	GLaz-RF	2R	-	13168033:13174033,13166636:13167903
FBtr0302574	zip-RG	2R	-	25011209:25017209,25010617:25011100
FBtr0075711	CG13474-RA	3L	-	14697106:14703106
FBtr0086773	Dgp-1-RA	2R	-	18172608:18178608,18171320:18172438
FBtr0091800	CG33796-RA	3L	-	16170107:16176107,16169989:16170041
FBtr0332372	Mad-RB	2L	-	3152754:3158754,3149280:3152429
FBtr0331389	Drip-RE	2R	-	11427804:11433804,11421437:11427776
FBtr0343552	CG44837-RB	3L	-	11938873:11944873,11938508:11938700
FBtr0307287	lawc-RD	X	-	8410099:8416099,8408779:8408865
FBtr0072534	Vdup1-RB	3L	-	178636:184636,177874:178497
FBtr0071423	CG15312-RC	X	-	10070869:10076869,10061349:10070142
FBtr0340160	cyr-RC	X	-	8129286:8135286,8127823:8128854
FBtr0301868	Menl-2-RE	2R	-	16419399:16425399,16418965:16419019
FBtr0345892	Ubi-p5E-RB	X	-	6279648:6285648,6278754:6279136
FBtr0333847	CG9449-RH	3L	-	19497724:19503724,19494919:19496551
FBtr0331336	Hk-RK	X	-	10244581:10250581,10242881:10243381
FBtr0072401	emp-RB	2R	-	24984795:24990795,24979662:24984650
FBtr0332350	dpy-RV	2L	-	4591964:4597964,4574343:4591513
FBtr0342888	Sgf29-RB	2R	-	21293647:21299647,21293415:21293497
FBtr0112945	slmo-RC	2L	-	6048707:6054707,6047781:6048134
FBtr0074183	PGRP-LE-RA	X	-	15802970:15808970,15802440:15802509
FBtr0084469	Rpn9-RB	3R	-	23733463:23739463,23732911:23733252
FBtr0113375	CG30424-RB	2R	-	24967299:24973299,24966154:24967147
FBtr0076367	RasGAP1-RA	3L	-	9855286:9861286,9845440:9854665
FBtr0071632	CG30389-RA	2R	-	21160546:21166546,21157298:21160429
FBtr0113138	Cip4-RB	3L	-	4363975:4369975,4363128:4363748
FBtr0300082	wech-RC	2R	-	7489824:7495824,7486168:7489333
FBtr0075493	Zn72D-RA	3L	-	16112411:16118411,16112099:16112332
FBtr0082042	GstZ2-RA	3R	-	9458847:9464847,9458534:9458595
FBtr0330408	CG32809-RI	X	-	1692548:1698548,1691358:1692376
FBtr0343408	CG33296-RC	2L	-	7716646:7722646,7716217:7716391
FBtr0075582	Eig71Ej-RA	3L	-	15661016:15667016,15660708:15660772
FBtr0301972	LUBEL-RD	2L	-	6770969:6776969,6770710:6770886
FBtr0074362	CG9673-RA	X	-	16703885:16709885,16703509:16703630
FBtr0082041	GstZ2-RB	3R	-	9460653:9466653,9458773:9460271
FBtr0080187	CG6700-RA	2L	-	10842598:10848598,10842274:10842381
FBtr0300084	wech-RE	2R	-	7488693:7494693,7486168:7488456
FBtr0310426	wge-RE	3R	-	22721151:22727151,22720018:22720079
FBtr0073084	Strip-RB	3L	-	3328872:3334872,3325602:3328699
FBtr0301690	CG4318-RB	X	-	13154925:13160925
FBtr0088257	Rab3-RA	2R	-	10729204:10735204,10725051:10728605
FBtr0073145	sty-RC	3L	-	3424936:3430936,3404922:3424425
FBtr0100495	CG13430-RA	2R	-	20552091:20558091,20551826:20551893
FBtr0309227	Cda5-RH	2L	-	59269:65269,58194:59190
FBtr0343572	hydra-RJ	X	-	20675242:20681242,20672377:20675135
FBtr0331584	CG3967-RF	3L	-	9420178:9426178,9419272:9420088
FBtr0077680	NTPase-RD	2L	-	2885851:2891851,2882834:2885633
FBtr0071242	CG15347-RA	X	-	8460899:8466899,8459338:8460766
FBtr0077919	CG18132-RA	2L	-	1517479:1523479
FBtr0333971	Sfp78E-RB	3L	-	21683965:21689965,21683603:21683665
FBtr0342872	CG15657-RB	2R	-	21148154:21154154,21147971:21148030
FBtr0087116	Nach-RA	2R	-	16655047:16661047,16654626:16654685
FBtr0337105	Rfx-RH	3R	-	10378069:10384069,10373206:10377691
FBtr0340222	Tre1-RC	X	-	5679978:5685978,5675485:5679660
FBtr0082726	CG7381-RB	3R	-	12974451:12980451,12973845:12974289
FBtr0078752	CG2926-RA	3R	-	5588381:5594381,5587452:5587521
FBtr0302489	CG11768-RB	3R	-	8768201:8774201,8767795:8768075
FBtr0070052	CG32857-RA	X	-	21617618:21623618,21617435:21617494
FBtr0310371	CG12848-RB	2R	-	24763095:24769095,24762982:24763033
FBtr0113217	CG6567-RB	3R	-	10854452:10860452,10853590:10853651
FBtr0305192	acj6-RJ	X	-	15379065:15385065,15371689:15378189
FBtr0085543	Wdr24-RB	3R	-	29745093:29751093,29744824:29744882
FBtr0087644	CG6543-RB	2R	-	13854332:13860332,13853906:13854102
FBtr0083646	fru-RA	3R	-	18447330:18453330,18435791:18446701
FBtr0343627	CG31867-RB	2L	-	11145418:11151418
FBtr0085859	CG2150-RA	3R	-	31764773:31770773,31764349:31764648
FBtr0081764	Prat-RA	3R	-	7911780:7917780,7911614:7911694
FBtr0342820	trol-RAU	X	-	2545411:2551411,2544763:2545383
FBtr0072282	tamo-RB	2R	-	24131840:24137840,24130438:24131595
FBtr0088623	shrb-RA	2R	-	9143915:9149915,9143237:9143620
FBtr0081347	vls-RA	2L	-	20065680:20071680,20065002:20065059
FBtr0332908	Asator-RK	4	-	483804:489804,481705:483501
FBtr0303234	Galk-RD	3L	-	8985817:8991817,8985309:8985419
FBtr0304869	FoxP-RC	3R	-	9730873:9736873,9728837:9728895
FBtr0310483	Dref-RB	2L	-	9967230:9973230,9965669:9965760
FBtr0331441	CG3609-RC	2L	-	2374062:2380062,2373723:2373936
FBtr0307286	lawc-RC	X	-	8411659:8417659,8408779:8409663
FBtr0299969	CG42370-RA	2L	-	6385513:6391513
FBtr0075345	eIF3e-RA	3L	-	16786942:16792942,16786650:16786744
FBtr0331801	CG14182-RB	3L	-	19979813:19985813,19979589:19979657
FBtr0330101	chp-RD	3R	-	31210731:31216731,31209720:31210261
FBtr0342803	CG43658-RH	X	-	17475474:17481474,17475355:17475412
FBtr0303647	Ranbp16-RF	X	-	15933676:15939676,15933539:15933601
FBtr0100381	nrv2-RE	2L	-	6794600:6800600,6793374:6794493
FBtr0074246	kat80-RB	X	-	16276181:16282181,16275754:16276116
FBtr0310003	TpnC41C-RB	2R	-	5070211:5076211,5067005:5069982
FBtr0308581	mtd-RY	3R	-	5323848:5329848,5323126:5323665
FBtr0085628	CG15536-RA	3R	-	30425163:30431163
FBtr0333863	CG3408-RB	3L	-	9509584:9515584,9508625:9509351
FBtr0079369	nop5-RA	2L	-	6918744:6924744,6917163:6917341
FBtr0339351	hubl-RB	2R	-	8362157:8368157
FBtr0070888	Tsp5D-RA	X	-	6074858:6080858,6071876:6074577
FBtr0301524	D1-RD	3R	-	9240268:9246268,9240069:9240202
FBtr0334576	CG3744-RF	3R	-	24876655:24882655,24875526:24875706
FBtr0343226	fusl-RF	2L	-	5336171:5342171,5332851:5335459
FBtr0075034	CNPYb-RA	3L	-	19096218:19102218
FBtr0074961	Oat-RA	3L	-	19649852:19655852,19648426:19649441
